ghi,ghi10,ghi90,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,Real Solar Power Produced,Predicted Solar Power
793,602,925,428,434,97,761,365,33,9,-79,15,2023-08-20T06:30:00.0000000Z,2.683,2.6500000953674316
785,526,930,391,392,0,742,394,34,3,-36,18,2023-08-20T07:00:00.0000000Z,2.658,2.640000104904175
754,465,913,329,331,0,707,425,35,6,70,20,2023-08-20T07:30:00.0000000Z,2.584,2.559999942779541
714,399,925,274,281,0,794,440,35,13,81,23,2023-08-20T08:00:00.0000000Z,2.482,2.4100000858306885
689,325,886,273,291,0,785,416,36,20,83,22,2023-08-20T08:30:00.0000000Z,2.381,2.319999933242798
686,337,829,351,396,0,771,335,36,27,84,17,2023-08-20T09:00:00.0000000Z,2.315,2.2799999713897705
616,273,757,311,378,0,752,305,37,35,84,19,2023-08-20T09:30:00.0000000Z,2.076,2.0399999618530273
480,196,672,176,236,0,728,304,37,42,83,29,2023-08-20T10:00:00.0000000Z,1.668,1.6200000047683716
367,134,574,87,134,0,691,279,37,49,83,36,2023-08-20T10:30:00.0000000Z,1.296,1.2100000381469727
284,96,465,46,83,0,638,238,36,57,82,39,2023-08-20T11:00:00.0000000Z,1.003,0.9100000262260437
204,64,351,15,34,0,567,188,36,64,81,42,2023-08-20T11:30:00.0000000Z,0.701,0.6399999856948853
130,38,235,0,1,0,467,129,35,71,80,45,2023-08-20T12:00:00.0000000Z,0.414,0.36000001430511475
66,19,124,0,0,0,317,66,34,78,79,47,2023-08-20T12:30:00.0000000Z,0.153,0.14000000059604645
19,6,35,0,0,0,98,19,33,86,78,47,2023-08-20T13:00:00.0000000Z,0.034,0.019999999552965164
0,0,0,0,0,0,0,0,32,93,76,47,2023-08-20T13:30:00.0000000Z,0.0,-0.009999999776482582
0,0,0,0,0,0,0,0,31,100,75,49,2023-08-20T14:00:00.0000000Z,0.0,-0.0
0,0,0,0,0,0,0,0,31,107,73,50,2023-08-20T14:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,30,114,70,50,2023-08-20T15:00:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,30,121,67,50,2023-08-20T15:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,29,128,64,47,2023-08-20T16:00:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,29,134,59,46,2023-08-20T16:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,28,140,54,45,2023-08-20T17:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,28,146,46,44,2023-08-20T17:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,28,151,35,43,2023-08-20T18:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,154,21,43,2023-08-20T18:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,156,5,43,2023-08-20T19:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,155,-13,42,2023-08-20T19:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,153,-28,39,2023-08-20T20:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,148,-41,34,2023-08-20T20:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,143,-50,26,2023-08-20T21:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,137,-57,23,2023-08-20T21:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,131,-62,23,2023-08-20T22:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,25,124,-66,23,2023-08-20T22:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,25,118,-69,24,2023-08-20T23:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,25,111,-72,25,2023-08-20T23:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,25,104,-74,26,2023-08-21T00:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,25,96,-76,25,2023-08-21T00:30:00.0000000Z,0.0,0.009999999776482582
7,3,8,0,0,0,15,7,25,89,-77,22,2023-08-21T01:00:00.0000000Z,0.014,0.019999999552965164
61,31,75,10,60,0,217,52,25,82,-79,18,2023-08-21T01:30:00.0000000Z,0.111,0.10999999940395355
154,79,176,61,230,0,393,93,26,75,-80,13,2023-08-21T02:00:00.0000000Z,0.432,0.4399999976158142
262,138,290,138,360,0,510,124,27,68,-81,10,2023-08-21T02:30:00.0000000Z,0.817,0.8100000023841858
377,203,405,233,471,0,591,144,28,60,-82,7,2023-08-21T03:00:00.0000000Z,1.229,1.2100000381469727
488,266,515,328,547,8,648,159,29,53,-83,5,2023-08-21T03:30:00.0000000Z,1.611,1.590000033378601
